"id","name","type","generalTrait","combatTerriCraft","deviatedTrait","scpTrait","stock","price","status","image"
"1","Atomic lighter","Starfall","Starfall Inversion","Waste Not","Moonlight Assault","Crit Damage","1","350","In Stock",""
"2","By-the-Wind","Lunar","Frigid Touch","Lunar Oracle","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"3","By-the-Wind","Variant","Frigid Touch","Crack Shot","Moonlight Assault","Physical DMG Bonus","1","150","In Stock",""
"4","Chaos Mini Wonder","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"5","Chaos Mini Wonder","Chaos","Power Rewind 2","Crack Shot","Moonlight Assault","Attack","1","300","In Stock",""
"6","Chaos Mr. Wish","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","","1","300","In Stock",""
"7","Chaos Mr. Wish","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"8","Chaos Mr. Wish","Chaos","Power Rewind 2","Crack Shot","Moonlight Assault","Crit Damage","1","300","In Stock",""
"9","Chaos Snowsprite","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"10","Chaosaurus","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","4","300","In Stock",""
"11","Chaosaurus","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","","1","200","In Stock",""
"12","Chaotic Extradimensional Cat","Chaos","Optimist","A World of Charm","Moonlight Assault","HP","2","350","In Stock",""
"13","Chaotic Extradimensional Cat","Chaos","Rise and Shine 5","A World of Charm","Moonlight Assault","HP Percentage","1","350","In Stock",""
"14","Doctor Raven","Normal","Optimist","A World of Charm","Moonlight Assault","HP","1","200","In Stock",""
"15","Electric Eel","Normal","Rise and Shine 5","Anti-Burnout","Moonlight Assault","","3","100","In Stock",""
"16","Flame Essence","Variant","Prince","Devoted laborer","Moonlight Assault","HP Percentage","1","150","In Stock",""
"17","Growshroom","Variant","Optimism-Extra Large","Sweet Talk","Herbivore","HP","6","100","In Stock",""
"18","Invincible Sun","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
"19","Invincible Sun","Starfall","Infrasonic Illusion","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
"20","Lonewolf""s Whisper","Lunar","Distant Tears","Lunar Oracle","Moonlight Assault","Physical DMG Bonus","1","300","In Stock",""
"21","Lonewolf""s Whisper","Lunar","Bursting Magma","Lunar Oracle","Moonlight Assault","Crit Damage","1","300","In Stock",""
"22","Mini Feaster","Starfall","Star Devourer","Starfall Inversion","Moonlight Assault","Attack","2","350","In Stock",""
"23","Mini Feaster","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Attack","2","350","In Stock",""
"24","Mini Feaster","Variant","Star Devourer","Psychic Kid","Moonlight Assault","Attack Percentage","1","200","In Stock",""
"25","Mini Wonder","Starfall","Bursting Magma","Starfall Inversion","Moonlight Assault","","1","250","In Stock",""
"26","Nutcracker","Variant","Infrasonic Illusion","Silver Gentleman","Precision Moment","HP","4","300","In Stock",""
"27","Polar Jelly","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
"28","Polar Jelly","Starfall","Radiant Variant","Starfall Inversion","Moonlight Assault","","1","250","In Stock",""
"29","Pyro Dino","Lunar","Power Rewind 2","Lunar Oracle","Moonlight Assault","Elemental DMG Bonus","2","300","In Stock",""
"30","Rain Man","Variant","Youthful heart(red)","Anti-Burnout","Moonlight Assault","Elemental DMG Bonus","1","150","In Stock",""
"31","Rain Man","Variant","Childlike Whimsy(green)","Devoted laborer","Moonlight Assault","Elemental DMG Bonus","1","150","In Stock",""
"32","Shattered Maiden","Variant","Wandering Witch","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"33","Snowsprite","Lunar","Power Rewind 2","Lunar Oracle","Moonlight Assault","Elemental DMG Reduction","1","300","In Stock",""
"34","Snowsprite","Lunar","Spring""s Return","Lunar Oracle","Moonlight Assault","","1","150","In Stock",""
"35","Snowsprite","Variant","Spring""s Return","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","150","In Stock",""
"36","Soul Summoner","Normal","Power Rewind 2","Crack Shot","Moonlight Assault","Attack","1","150","In Stock",""
"37","The Digby Boy","Starfall","Starfall Inversion","Devoted laborer","Moonlight Assault","Attack","1","350","In Stock",""
"38","Voodoo doll","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
"39","Voodoo doll","Variant","Fluffy Curse","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","150","In Stock",""
"40","Voodoo Doll","Variant","Fluffy Curse","Crack Shot","Moonlight Assault","Attack","1","150","In Stock",""
"41","Voodoo Doll","Variant","Fluffy Curse","Crack Shot","Moonlight Assault","Crit Rate","1","150","In Stock",""
"42","Voodoo doll","Variant","Fluffy Curse","Crack Shot","Moonlight Assault","","1","100","In Stock",""
"43","Whalepup","Normal","Power Rewind 2","Crack Shot","Moonlight Assault","Crit Damage","1","150","In Stock",""
"44","Whalepup","Normal","Power Rewind 2","Crack Shot","Moonlight Assault","Attack","1","150","In Stock",""
"45","Zapamander","Starfall","Starfall Inversion","Psychic Kid","Moonlight Assault","HP","2","350","In Stock",""
"46","Zapamander","Starfall","Starfall Inversion","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","5","350","In Stock",""
"47","Zapcam","Lunar","Lunar Oracle","Crack Shot","Moonlight Assault","Attack Percentage","2","300","In Stock",""
"48","ZapCam","Lunar","Lunar Oracle","Crack Shot","Moonlight Assault","Attack","1","300","In Stock",""
"49","ZapCam","Lunar","Lunar Oracle","Crack Shot","Moonlight Assault","Physical DMG Bonus","1","300","In Stock",""
"50","ZapCam","Variant","Fool""s Memory","Crack Shot","Moonlight Assault","","1","100","In Stock",""
"51","Enchanting Void","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Attack","1","350","In Stock",""
